,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
ossl_config_add_ssl_module,216502,215286,-0.5616576290288311,-1216
sm4_128_xts_get_params,237248,236001,-0.5256103318046939,-1247
aes_192_ecb_get_params,223709,222461,-0.5578675869097801,-1248
ossl_provider_add_conf_module,241084,239835,-0.5180766869638799,-1249
"dyld4::handleFromLoader(dyld4::Loader const*, bool)",366332,365083,-0.3409475557690838,-1249
EVP_aria_256_cfb1,142293,141044,-0.877766299115206,-1249
ossl_random_add_conf_module,233501,232251,-0.5353296131494083,-1250
aria_256_cfb8_get_params,241915,240663,-0.5175371514788252,-1252
EVP_rc2_64_cbc,128458,127204,-0.9761945538619627,-1254
EVP_idea_ecb,130170,128915,-0.9641238380579243,-1255
camellia_192_cfb1_get_params,257873,256585,-0.4994706696707294,-1288
camellia_128_ofb_get_params,263457,262166,-0.4900230398129486,-1291
EVP_rc2_cfb64,127875,126584,-1.0095796676441837,-1291
NCONF_default,145417,144125,-0.8884793387293095,-1292
ENGINE_set_init_function,228423,227123,-0.5691195720220819,-1300
aes_128_ecb_get_params,229504,228202,-0.5673103736754044,-1302
EVP_aria_256_cfb8,148330,147002,-0.8953010180004045,-1328
BIO_clear_flags,703620,702290,-0.18902248372701175,-1330
BIO_meth_set_puts,191461,190128,-0.6962253409310513,-1333
medium_region_for_ptr_no_lock,270583,269250,-0.492639966295,-1333
BIO_set_init,451251,449916,-0.29584421973580116,-1335
EVP_des_ede3_ofb,142376,141041,-0.9376580322526269,-1335
BIO_f_cipher,144876,143540,-0.922167922913388,-1336
pthread_mutex_destroy,897654,896295,-0.15139463534947764,-1359
EVP_camellia_128_cfb128,187538,186167,-0.7310518401603942,-1371
tdes_ede2_ecb_get_params,234460,233084,-0.5868804913418066,-1376
EVP_aes_128_ocb,152958,151579,-0.9015546751395808,-1379
ENGINE_load_builtin_engines,248582,247171,-0.5676195380196475,-1411
EVP_ripemd160,122124,120712,-1.156201893157774,-1412
camellia_256_cbc_get_params,254664,253250,-0.5552414161404832,-1414
OBJ_obj2txt,147750,146334,-0.9583756345177665,-1416
aria_128_ofb_get_params,231748,230329,-0.6123030187962788,-1419
aes_192_ccm_get_params,236543,235123,-0.6003136850382382,-1420
camellia_256_cfb1_get_params,258293,256871,-0.5505375678009082,-1422
aes_128_ctr_get_params,228501,227078,-0.6227543861952464,-1423
fstat,664077,662620,-0.21940226811047514,-1457
EVP_camellia_256_cbc,163916,162458,-0.8894799775494766,-1458
EVP_sha3_256,131912,130454,-1.1052823094184,-1458
UI_method_set_writer,161545,160083,-0.9050109876504999,-1462
OSSL_trace_set_channel,236207,234711,-0.6333427883170271,-1496
aes_256_ecb_get_params,246042,244542,-0.6096520106323311,-1500
aria_128_ccm_get_params,244419,242917,-0.6145185112450342,-1502
OSSL_STORE_LOADER_set_close,239378,237876,-0.6274594992020988,-1502
aes_256_ocb_get_params,248378,246871,-0.6067365064538728,-1507
aes_256_gcm_get_params,237787,236248,-0.647217888278165,-1539
EVP_aes_128_ctr,132583,131043,-1.1615365469177799,-1540
sm4_128_ecb_get_params,243122,241582,-0.6334268392000724,-1540
EVP_aes_192_wrap,144749,143209,-1.0639106315069533,-1540
EVP_aria_192_cbc,138290,136750,-1.113601851182298,-1540
EVP_aria_128_cfb1,158040,156498,-0.9757023538344723,-1542
EVP_aes_256_cfb8,138958,137414,-1.1111271031534709,-1544
EVP_aes_192_gcm,132168,130622,-1.1697233823618425,-1546
OSSL_STORE_unregister_loader,221621,220043,-0.7120263873910866,-1578
EVP_aria_256_cbc,136458,134878,-1.1578654237934016,-1580
camellia_128_cfb_get_params,251207,249625,-0.6297595210324554,-1582
ENGINE_set_finish_function,233622,232039,-0.6775902954345053,-1583
BIO_free,240464,238877,-0.6599740501696719,-1587
OPENSSL_sk_pop,391961,390372,-0.405397475769273,-1589
EVP_aria_256_ecb,137290,135665,-1.183625901376648,-1625
tdes_ede3_cfb1_get_params,251208,249581,-0.6476704563548932,-1627
def_to_int,141036,139376,-1.1770044527638333,-1660
camellia_128_ctr_get_params,254873,253212,-0.6516971197419891,-1661
EVP_aes_128_cbc_hmac_sha256,249460,247793,-0.6682434057564339,-1667
EVP_idea_cbc,115126,113457,-1.449715963379254,-1669
pd_free,91129,89459,-1.8325670203777062,-1670
Diagnostics::clearError(),253749,252045,-0.6715297400186799,-1704
engine_pkey_asn1_meths_free,270878,269161,-0.6338646918538973,-1717
dyld4::RuntimeState::incDlRefCount(dyld4::Loader const*),454625,452870,-0.3860324443222436,-1755
ossl_property_name,1368082,1366322,-0.1286472594478986,-1760
EVP_aes_128_wrap_pad,167745,165960,-1.0641151748189215,-1785
aes_256_wrapinv_get_params,252415,250626,-0.7087534417526692,-1789
EVP_seed_cfb128,143043,141252,-1.2520710555567207,-1791
UI_null,112165,110337,-1.6297418980965543,-1828
camellia_192_cfb_get_params,255789,253958,-0.7158243708681765,-1831
aria_128_gcm_get_params,239705,237873,-0.7642727519242402,-1832
OSSL_STORE_LOADER_set_load,241830,239997,-0.7579704751271554,-1833
EVP_sha512_224,126709,124874,-1.4482002067729995,-1835
EVP_sha1,103958,102123,-1.7651359202754957,-1835
app_get0_propq,124793,122957,-1.4712363674244548,-1836
def_init_default,156378,154541,-1.1747176712836844,-1837
aes_cts_256_cbc_get_params,251083,249210,-0.7459684646113038,-1873
EVP_bf_ofb,106708,104831,-1.7590058852194774,-1877
EVP_aes_256_ecb,142462,140581,-1.3203520938917044,-1881
EVP_camellia_192_ctr,161414,159500,-1.185770750988142,-1914
ossl_prov_ctx_get0_core_bio_method,281208,279292,-0.681346192142471,-1916
EVP_sha224,103543,101624,-1.853336295065818,-1919
camellia_128_cfb8_get_params,259088,257163,-0.7429907984931761,-1925
aes_256_ctr_get_params,222497,220543,-0.878214088279842,-1954
tdes_ede3_ofb_get_params,243667,241709,-0.8035556722904619,-1958
EVP_CIPHER_CTX_get_block_size,284460,282498,-0.6897279055051677,-1962
BIO_meth_set_write_ex,226542,224578,-0.8669474093104149,-1964
sm4_128_ctr_get_params,229084,227118,-0.8582004854114648,-1966
